symbol,date,1. open,2. high,3. low,4. close,5. volume
META,2023-03-10,188.0000,190.3600,178.8000,179.5100,141591076
META,2023-03-03,171.8750,186.6200,169.0600,185.2500,159564899
META,2023-02-24,174.3100,178.1700,167.6600,170.3900,96834853
META,2023-02-17,178.2150,181.5064,169.7000,172.8800,130834553
META,2023-02-10,186.5300,193.7799,173.3500,174.1500,196255925
META,2023-02-03,149.4050,197.1600,146.9500,186.5300,340828614
META,2023-01-27,139.2900,153.1900,138.6600,151.7400,137316253
META,2023-01-20,136.1760,139.9400,132.1400,139.3700,98676935
META,2023-01-13,131.1600,137.6781,127.1500,136.9800,133938193
META,2023-01-06,122.8200,130.3300,122.2800,130.0200,120957222
META,2022-12-30,117.9300,121.0300,115.5100,120.3400,82954801
META,2022-12-23,116.8300,120.3400,112.4600,118.0400,120319921
META,2022-12-16,115.1800,124.1400,113.1400,119.4300,207965126
META,2022-12-09,121.7500,124.6700,112.8800,115.9000,165277975
META,2022-12-02,110.7800,124.0400,108.3800,123.4900,167082449
META,2022-11-25,111.5200,112.7300,108.3216,111.4100,86730686
META,2022-11-18,110.9900,118.7400,109.8000,112.0500,205804775
META,2022-11-11,94.7800,114.9000,93.1000,113.0200,382385602
META,2022-11-04,98.2200,99.3200,88.0900,90.7900,419674192
META,2022-10-28,127.2500,138.3500,96.3800,99.2000,519536222
META,2022-10-21,130.3000,137.8399,125.4400,130.0100,158453194
META,2022-10-14,133.5500,136.1100,122.5301,126.7600,154995752
META,2022-10-07,137.1400,142.3901,132.4400,133.4500,159818969
META,2022-09-30,140.1200,142.2400,134.1201,135.6800,166133777
META,2022-09-23,145.2350,149.6000,138.8900,140.4100,149598657
META,2022-09-16,167.3900,171.3900,144.2935,146.2900,185457833
META,2022-09-09,160.1000,169.5400,156.8100,169.1500,80774367
META,2022-09-02,160.6550,167.9300,155.9100,160.3200,133072660
META,2022-08-26,165.4900,170.9200,159.7700,161.7800,98077116
META,2022-08-19,178.9600,181.4400,167.0500,167.9600,102238764
META,2022-08-12,168.0000,183.1000,166.6000,180.5000,121569409
META,2022-08-05,157.2500,172.1500,155.2301,167.1100,149459658
META,2022-07-29,169.0000,170.8700,154.8500,159.1000,213761028
META,2022-07-22,166.7500,183.8500,165.6400,169.2700,144072021
META,2022-07-15,167.0650,167.4900,157.2801,164.7000,102207905
META,2022-07-08,158.1400,172.7200,157.0200,170.8800,95083331
META,2022-07-01,171.3200,171.7500,155.0000,160.0300,152233058
META,2022-06-24,165.9300,170.2500,154.2500,170.1600,207556926
META,2022-06-17,170.5900,172.5750,159.6100,163.7400,147320187
META,2022-06-10,193.9900,202.0300,175.0200,175.5700,122650016
META,2022-06-03,194.8850,200.9350,185.0000,190.7800,114171173
META,2022-05-27,195.1900,196.9924,176.1100,195.1300,149114810
META,2022-05-20,197.0500,205.4600,187.8700,193.5400,131857798
META,2022-05-13,199.8400,202.9600,184.7800,198.6200,164721144
META,2022-05-06,201.1650,224.3000,200.9900,203.7700,208545251
META,2022-04-29,182.7300,212.4800,169.0000,200.4700,281300784
META,2022-04-22,210.0000,218.4299,183.2700,184.1100,165911103
META,2022-04-14,218.4200,222.0300,210.0000,210.1800,78256684
META,2022-04-08,225.9800,236.8600,218.5600,222.3300,126033890
META,2022-04-01,222.1300,231.1510,219.5400,224.8500,126967068
META,2022-03-25,214.5000,225.5000,207.6300,221.8200,155942191
META,2022-03-18,187.0300,216.8000,185.8200,216.4900,184107129
META,2022-03-11,200.7900,200.8900,186.1100,187.6100,167510962
META,2022-03-04,207.6750,213.1508,198.7900,200.0600,150196640
META,2022-02-25,202.3400,211.3200,190.2200,210.4800,171770071
META,2022-02-18,219.3100,221.1500,205.1800,206.1600,202562936
META,2022-02-11,237.7000,238.3000,216.1500,219.5500,365374072
META,2022-02-04,300.6800,328.0000,230.1100,237.0900,375523722
META,2022-01-28,297.8400,309.5300,289.0100,301.7100,135895698
META,2022-01-21,323.2900,327.8200,303.0400,303.1700,88552375
META,2022-01-14,325.3100,336.3650,315.4300,331.9000,86904480
META,2022-01-07,338.2950,343.0854,322.7200,331.7900,93810173
META,2021-12-31,338.8450,352.7100,336.2700,336.3500,68289517
META,2021-12-23,329.7750,336.6700,322.5300,335.2400,64770831
META,2021-12-17,330.9500,344.4600,323.9800,333.7900,130738667
META,2021-12-10,308.1300,336.1300,306.3400,329.7500,91897246
META,2021-12-03,336.8900,340.6700,299.5000,306.8400,124292219
META,2021-11-26,349.0500,353.8300,331.9020,333.1200,72658715
META,2021-11-19,344.3400,353.6500,335.3000,345.3000,100836297
META,2021-11-12,344.4200,344.7890,325.5100,340.8900,95160268
META,2021-11-05,326.0400,346.7900,323.2000,341.1300,129578076
META,2021-10-29,320.3000,330.2099,308.1100,323.5700,221900985
META,2021-10-22,328.9500,343.9800,321.1100,324.6100,105589765
META,2021-10-15,327.6250,330.5200,317.3700,324.7600,97026902
META,2021-10-08,335.5300,338.8400,322.7000,330.0500,148959498
META,2021-10-01,349.8050,355.1500,338.1500,343.0100,82820775
META,2021-09-24,359.3000,361.0300,340.6901,352.9600,115875745
META,2021-09-17,381.6800,381.7500,361.5900,364.7200,77911324
META,2021-09-10,375.8800,383.7900,373.1500,378.6900,42514622
META,2021-09-03,372.5600,384.3300,370.5200,376.2600,59809404
META,2021-08-27,359.4400,373.7400,359.1000,372.6300,48969499
META,2021-08-20,362.5200,366.9500,351.0000,359.3700,54305589
META,2021-08-13,363.7623,365.7750,357.1100,363.1800,38028702
META,2021-08-06,358.1000,365.1500,347.7000,363.5100,58939289
META,2021-07-30,369.5800,377.5499,352.9400,356.3000,108494684
META,2021-07-23,337.5700,375.3300,334.5000,369.7900,80756048
META,2021-07-16,351.2300,358.4900,340.1400,341.1600,61176495
META,2021-07-09,356.5000,358.7900,342.5600,350.4200,55132472
META,2021-07-02,342.4600,358.1400,341.7700,354.7000,94342586
META,2021-06-25,331.0900,344.9000,327.6500,341.3700,68424185
META,2021-06-18,331.9000,339.9200,328.7200,329.6600,85910843
META,2021-06-11,329.4800,338.2999,328.5450,331.2600,75273262
META,2021-06-04,330.1500,332.4550,323.4800,330.3500,49320352
META,2021-05-28,318.2100,333.7800,318.0300,328.7300,75084394
META,2021-05-21,313.5500,319.9300,303.5700,316.2300,79951132
META,2021-05-14,314.3500,316.8500,298.1900,315.9400,105125150
META,2021-05-07,326.1700,328.5500,313.1200,319.0800,93258608
META,2021-04-30,303.3396,331.8100,301.1100,325.0800,148248253
META,2021-04-23,305.0070,307.7000,296.0400,301.1300,80148271
META,2021-04-16,311.0500,314.4280,301.9500,306.1800,69957691
META,2021-04-09,300.8900,315.8800,300.6800,312.4600,105310209
META,2021-04-01,285.7700,302.4000,284.7000,298.6600,76307505
META,2021-03-26,290.4500,299.7050,277.7500,283.0200,112083881
META,2021-03-19,269.0800,292.8000,268.5000,290.1100,118294844
META,2021-03-12,265.5500,277.9000,255.0500,268.4000,97076003
META,2021-03-05,260.8200,266.7100,253.5000,264.2800,111309010
META,2021-02-26,257.9500,267.4600,254.0400,257.6200,99703327
META,2021-02-19,270.8000,276.6000,260.1500,261.5600,68908015
META,2021-02-12,268.7500,273.7999,265.0000,270.5000,64289912
META,2021-02-05,259.5200,269.2000,254.9100,268.1000,82616337
META,2021-01-29,278.1400,286.7900,254.8500,258.3300,141955163
META,2021-01-22,256.9000,278.4700,252.7201,274.5000,96021194
META,2021-01-15,260.4800,263.4700,244.6100,251.3600,130395686
META,2021-01-08,274.7800,275.0000,260.0100,267.5700,83649826
